,Distance (m), Received Power (dBm)
,1186,-46.8
,2857,-66.1
,2223,-58.8
,1836,-68
,553,-34.1
,552,-30.5
,268,-9.8
,2612,-65.7
,1843,-60.8
,2153,-61.9
,160,-3.3
,2913,-62.6
,2514,-65
,716,-34.5
,627,-34.6
,632,-29.3
,982,-48.1
,1622,-55.4
,1353,-52.3
,945,-52
,1874,-54.3
,505,-29.4
,947,-43
,1162,-48.4
,1423,-59.6
,2377,-63.3
,679,-38.8
,1591,-57.9
,1818,-56.5
,235,-13.9
,1862,-44.4
,595,-33.1
,289,-18.7
,2852,-64.6
,2900,-76.3
,2444,-61.4
,983,-43.4
,383,-10.6
,2084,-59.4
,1376,-48.4
,454,-29.2
,1536,-59.5
,200,-6.2
,2737,-58.8
,851,-36.1
,2021,-63.2
,1004,-35.5
,1608,-61.8
,1686,-50.5
,636,-21.9
,2912,-70.7
,2348,-63.9
,2825,-63.4
,2695,-66.2
,1834,-65.3
,2773,-63.2
,357,-30.9
,668,-33.5
,231,-21.7
,1044,-35.4
,1227,-52.9
,887,-43.8
,2503,-56.7
,1135,-54.1
,915,-41
,1674,-45.9
,509,-41.1
,2426,-59.9
,316,-20.5
,2962,-60.1
,2340,-68
,676,-44.7
,116,0.4
,2465,-59.6
,2150,-57.2
,2214,-57.2
,2337,-64.5
,315,-20.5
,1140,-44.8
,436,-32.6
,2603,-50.9
,1908,-53.6
,1060,-52.6
,284,-16
,1002,-50.1
,1043,-40.1
,2216,-52.2
,1949,-61.9
,2673,-57
,447,-23.6
,2168,-47.2
,2306,-61.6
,1728,-59.2
,2336,-65.8
,1532,-57.3
,1616,-53.8
,1340,-47.6
,174,-8.9
,413,-22.1
